sku,name,category,packaging_raw,order_options,recommended_order_qty,price_czk,points,source_row
80145HM,"AKCE leden-unor! Peptidová maska na rty s arganovým olejem, 13 g",Kosmetické přípravky TianDe->Masky TianDe,1 / 160,1/160,160,242.0,8.1,95
50116,"Čisticí zlatá slupovací pleťová maska, 130 ml",Kosmetické přípravky TianDe->Masky TianDe,1 / 144,1/144,144,242.0,8.0,96
50109,"Hydratační krémová maska na obličej Aloe, 35 g",Kosmetické přípravky TianDe->Masky TianDe->Krémové masky TianDe,1 / 1 / 1 / 100 / 100 / 400 / 400,1/1/1/100/100/400/400,400,68.0,1.4,98
50104,"Noční krémová maska na obličej s hroznovým vínem, 18 g",Kosmetické přípravky TianDe->Masky TianDe->Krémové masky TianDe,1 / 1 / 1 / 10 / 10 / 600 / 600,1/1/1/10/10/600/600,600,36.0,1.2,99
50101,"Noční krémová maska na obličej se zeleným čajem, 18 g",Kosmetické přípravky TianDe->Masky TianDe->Krémové masky TianDe,1 / 1 / 1 / 10 / 10 / 600 / 600,1/1/1/10/10/600/600,600,36.0,1.2,100
50111,"Regenarační krémová maska na obličej Mořský elixír, 35 g",Kosmetické přípravky TianDe->Masky TianDe->Krémové masky TianDe,1 / 1 / 1 / 100 / 100 / 400 / 400,1/1/1/100/100/400/400,400,68.0,1.4,101
52912,"AKCE březen - duben!  Hydratační spa rukavice s argininem a vitamínem B3, 1 pár",Kosmetické přípravky TianDe->Masky TianDe->Masky PRO Comfort,1 / 300,1/300,300,105.0,3.5,103
52901HM,"Intenzivní hydratační maska na obličej a krk Hyaluronová kyselina, 35 g",Kosmetické přípravky TianDe->Masky TianDe->Masky PRO Comfort,1 / 1 / 1 / 40 / 40 / 480 / 480,1/1/1/40/40/480/480,480,57.0,2.1,104
52903,"Intenzivní omlazující maska na obličej a krk Q10, 35 g",Kosmetické přípravky TianDe->Masky TianDe->Masky PRO Comfort,1 / 40 / 480,1/40/480,480,57.0,2.1,105
52911HM,"Obnovující maska na obličej a krk s fullereny a polypeptidy, 1 ks",Kosmetické přípravky TianDe->Masky TianDe->Masky PRO Comfort,1 / 480,1/480,480,57.0,2.1,106
52902,"Revitalizační  maska na obličej a krk Lingzhi, 35 g",Kosmetické přípravky TianDe->Masky TianDe->Masky PRO Comfort,1 / 40 / 480,1/40/480,480,57.0,2.1,107
54106HM,"Pleťová beauty-maska „Amino-koktejl”, 1 ks","Kosmetické přípravky TianDe->Masky TianDe->Série ""Skin Triumph""",1 / 360,1/360,360,45.0,1.4,109
54107,"Pleťová beauty-maska „Černý briliant”, 1 ks","Kosmetické přípravky TianDe->Masky TianDe->Série ""Skin Triumph""",1 / 360,1/360,360,48.0,1.5,110
54108,"Pleťová beauty-maska „Levandulová Provence”, 1 ks","Kosmetické přípravky TianDe->Masky TianDe->Série ""Skin Triumph""",1 / 360,1/360,360,45.0,1.4,111
54103HM,"Pleťová beauty-maska „Vinná terapie“, 1 ks","Kosmetické přípravky TianDe->Masky TianDe->Série ""Skin Triumph""",1 / 360,1/360,360,45.0,1.4,112
54105,"Pleťová beauty-maska s granátovým jablkem,1 ks","Kosmetické přípravky TianDe->Masky TianDe->Série ""Skin Triumph""",1 / 360,1/360,360,45.0,1.4,113
54104,"Pleťová beauty-maska s mořskými řasami, 1 ks","Kosmetické přípravky TianDe->Masky TianDe->Série ""Skin Triumph""",1 / 360,1/360,360,45.0,1.4,114
10131,"Regenerační balzám po holení, 170 ml",Kosmetické přípravky TianDe->Panská série TianDe,1 / 60,1/60,60,387.0,13.0,116
40120HM,Pečující krém na popraskané paty 40 g,Kosmetické přípravky TianDe->Péče o nohy TianDe,1 / 144,1/144,144,166.0,4.3,118
41320HM,"Solná koupel na nohy Čajovníkový strom, 50 g",Kosmetické přípravky TianDe->Péče o nohy TianDe,1 / 1 / 100 / 100 / 400 / 400,1/1/100/100/400/400,400,36.0,1.4,119
60149-2,"AKCE březen - duben!  Gel pro intimní péči s bylinnými extrakty, 360 g",Kosmetické přípravky TianDe->Péče o tělo TianDe,1 / 48,1/48,48,250.0,8.5,121
30162-2,"AKCE březen - duben!  Revitalizační sprchový gel Oliva a maracuja, 470 g",Kosmetické přípravky TianDe->Péče o tělo TianDe,1 / 15,1/15,15,248.0,8.3,122
30160-2,"AKCE březen - duben! Hydratační sprchový gel Vodní meloun a hrozny, 470 g",Kosmetické přípravky TianDe->Péče o tělo TianDe,1 / 15,1/15,15,248.0,8.3,123
30138-2,"Balzám „Talisman“, 50 g",Kosmetické přípravky TianDe->Péče o tělo TianDe,1 / 96,1/96,96,192.0,6.5,124
36006,"Hyaluronový gel-lotion na obličej a tělo s mořskými řasami, 220 ml",Kosmetické přípravky TianDe->Péče o tělo TianDe,1 / 12 / 48,1/12/48,48,272.0,9.1,125
46903-2,"Krém na nohy s 30 % močoviny na pokožku s prasklinami a otlaky, 80 g",Kosmetické přípravky TianDe->Péče o tělo TianDe,1 / 96,1/96,96,121.0,4.0,126
140111HM,"Tělové mýdlo s ženšenem, 100 g",Kosmetické přípravky TianDe->Péče o tělo TianDe,1 / 120,1/120,120,126.0,3.3,127
20159-2,"AKCE březen - duben!  Hydratační šampon Vodní meloun a hrozny, 370 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe,1 / 24,1/24,24,223.0,7.5,129
20161-2,"AKCE březen - duben! Revitalizační šampon Oliva a maracuja, 370 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe,1 / 24,1/24,24,223.0,7.5,130
